Name,State,Married ages 32-34 (pct),Married ages 23-25 (pct),HBCU?,Religious private?,Nonsectarian private?
North Carolina Agricultural & Technical State University,NC,0.2856271,0.0506066,Yes,No,No
North Carolina Central University,NC,0.2577519,0.0492558,Yes,No,No
North Carolina State University,NC,0.6427507,0.1325283,No,No,No
North Carolina Wesleyan College,NC,0.4314107,0.1285753,No,Yes,No
Saint Augustine's University,NC,0.2049672,0.0309038,Yes,Yes,No
Salem College,NC,0.55076,0.1660959,No,Yes,No
University Of Mount Olive,NC,0.5810758,0.2777325,No,Yes,No
University Of North Carolina  Asheville,NC,0.5561815,0.0857808,No,No,No
University Of North Carolina - Chapel Hill,NC,0.6340535,0.0895927,No,No,No
University Of North Carolina - Charlotte,NC,0.5957512,0.1448261,No,No,No
University Of North Carolina - Greensboro,NC,0.567233,0.1577982,No,No,No
University Of North Carolina At Pembroke,NC,0.4956045,0.1456643,No,No,No
University Of North Carolina At Wilmington,NC,0.5999363,0.1163555,No,No,No
Wake Forest University,NC,0.6553602,0.0559522,No,No,Yes
Warren Wilson College,NC,0.4815012,0.0400029,No,Yes,No
Western Carolina University,NC,0.6101482,0.1951248,No,No,No
William Peace University,NC,0.6110075,0.1547814,No,Yes,No
Wingate University,NC,0.5926415,0.1800592,No,Yes,No
Winston-Salem State University,NC,0.2727521,0.0455067,Yes,No,No
Minot State University,ND,0.6549304,0.2882719,No,No,No
North Dakota State University - Main Campus - Fargo,ND,0.7094602,0.2022164,No,No,No
University Of North Dakota,ND,0.6775266,0.1677481,No,No,No
Valley City State University,ND,0.7234075,0.2117816,No,No,No
"Concordia University of Seward, NE",NE,0.775603,0.3433917,No,Yes,No
Doane College,NE,0.7106973,0.1759677,No,Yes,No
Hastings College,NE,0.7231172,0.191834,No,Yes,No
Colby-Sawyer College,NH,0.6035318,0.0703001,No,No,Yes
Dartmouth College,NH,0.5673988,0.0197179,No,No,Yes
Franklin Pierce University,NH,0.5157931,0.0620479,No,No,Yes
Keene State College,NH,0.5856941,0.0517768,No,No,No
New England College,NH,0.5385259,0.0720921,No,No,Yes
Plymouth State University Of The University System Of New Hampshire,NH,0.5824595,0.0503349,No,No,No
Saint Anselm College,NH,0.6516454,0.0350168,No,Yes,No
Southern New Hampshire University,NH,0.5597639,0.1198961,No,No,Yes
University Of New Hampshire,NH,0.6170952,0.0558547,No,No,No
Bloomfield College,NJ,0.2441391,0.0431854,No,Yes,No
